host_id,hostname,dist_pc,st_teff_k,st_rad_rsun,st_mass_msun,st_lum_log,st_logg,st_met_dex,st_spectype,spectral_class,hr_region,n_stars,n_planets
1,11 Com,93.1846,4874.0,13.76,2.09,1.97823,2.45,-0.26,G8 III,G,Supergiant,2,1
2,11 UMi,125.321,4213.0,29.79,2.78,2.42951,1.93,-0.02,K4 III,K,Supergiant,1,1
3,14 And,75.4392,4888.0,11.55,1.78,1.83992,2.55,-0.21,K0 III,K,Giant,1,1
4,14 Her,17.9323,5338.0,0.93,0.97,-0.15273,4.45,0.43,K0,K,Main_Sequence_Cool,1,2
5,16 Cyg B,21.1397,5750.0,1.13,1.08,0.09729,4.36,0.06,G3 V,G,Main_Sequence_Cool,3,1
6,17 Sco,124.953,4157.0,25.92,1.22,2.25435,1.7,-0.01,K3 III,K,Supergiant,1,1
7,18 Del,76.222,4980.0,8.8,2.1,1.63367,2.87,-0.06,G6 III,G,Giant,2,1
8,1RXS J160929.1-210524,139.135,4060.0,1.31316,0.85,-0.37,3.99592,,K7 V,K,Subgiant,1,1
9,24 Boo,95.9863,4816.0,12.19,1.05,1.87691,2.28,-0.78,G3 IV,G,Supergiant,1,1
10,24 Sex,72.0691,5098.0,4.9,1.54,1.164,3.5,-0.03,K0 IV,K,Giant,1,2
11,2MASS J01033563-5515561 A,47.2,4621.5,1.26,0.19,-0.20897500000000002,,,M5.5/M6,M,Unknown,2,1
12,2MASS J01225093-2439505,33.8281,3530.0,0.36645,0.4,-1.72,4.85804,,M3.5 V,M,Main_Sequence_Cool,1,1
13,2MASS J02192210-3925225,40.08964117,3064.0,0.281,0.108,-2.23,4.59,,M6,M,Main_Sequence_Cool,1,1
14,2MASS J03590986+2009361,117.435,2943.0,0.289776,0.264996,-2.24602,4.93718,,Unknown,Unknown,Main_Sequence_Cool,1,1
15,2MASS J04372171+2651014,128.484,3100.0,0.84,0.17,-1.16368,4.5,0.01,M V,M,Main_Sequence_Cool,1,1
16,2MASS J11011926-7732383,,4621.5,1.26,1.0,-0.20897500000000002,,,Unknown,Unknown,Unknown,1,1
17,2MASS J11550485-7919108,100.862,3021.0,0.600455,0.58846,-1.56774,4.65082,,Unknown,Unknown,Main_Sequence_Cool,1,1
18,2MASS J12073346-3932539,64.308,2825.0,0.21887,0.188001,-2.56086,5.03186,,M8,M,Main_Sequence_Cool,1,1
19,2MASS J16262785-2625152,145.434,3252.0,1.26,1.0,-0.20897500000000002,,,M4.5,M,Unknown,1,1
20,2MASS J19383260+4603591,396.332,29564.0,0.203,0.48,1.45,5.508,-0.092,Unknown,Unknown,Main_Sequence_Hot,2,3
21,2MASS J21252752-8138278,34.1154,3592.0,0.672832,0.643977,-1.16815,4.59112,,Unknown,Unknown,Main_Sequence_Cool,1,1
22,2MASS J22362452+4751425,69.5737,4045.0,0.641152,0.6,-1.02143,4.62349,,K7 V,K,Main_Sequence_Cool,1,1
23,2MASS J22501512+2325342,57.2309,3352.0,0.437589,0.433173,-1.66196,4.7926,,M3,M,Main_Sequence_Cool,1,1
24,4 UMa,73.4603,4415.0,18.11,1.234,2.06236,1.8,-0.25,K1 III,K,Supergiant,1,1
25,47 UMa,13.7967,5872.0,1.21334,1.06,0.1978,4.29541,0.04,G0V,G,Main_Sequence_Cool,1,3
26,51 Eri,29.7575,7422.0,1.45,1.75,0.7574,4.31078,0.13,F0 IV,F,Main_Sequence_Hot,3,1
27,51 Peg,15.4614,5758.0,1.17561,1.03,0.13631,4.31038,0.18,G5V,G,Main_Sequence_Cool,1,1
28,55 Cnc,12.5855,5198.0,0.98,1.015,-0.19695,4.3,0.39,G8 V,G,Main_Sequence_Cool,2,7
29,55 Cnc B,12.4773,3286.0,0.274,0.26,-2.10811,4.86,0.16,M4.5 V,M,Main_Sequence_Cool,2,7
30,6 Lyn,54.6599,4941.0,4.94,1.32,1.1186,3.16,-0.17,K0 IV,K,Giant,1,1
31,61 Vir,8.50332,5577.0,0.963,0.942,-0.095,4.34,-0.01,G5 V,G,Main_Sequence_Cool,1,3
32,7 CMa,19.8101,4826.0,4.87,1.34,1.06258,3.19,0.21,K1III(+M),K,Giant,1,2
33,70 Vir,17.9011,5495.0,1.89,1.09,0.4513,3.95,-0.09,G5V,G,Subgiant,1,1
34,75 Cet,82.9613,4809.0,10.38,1.92,1.7145,2.69,0.1,G3 III,G,Giant,2,2
35,8 UMi,162.552,4847.0,10.73,1.51,1.72346,2.57,-0.03,K0,K,Giant,1,1
36,81 Cet,101.26,4734.0,11.21,1.23,1.76027,2.41,-0.11,G5 III,G,Supergiant,1,1
37,91 Aqr,44.0304,4665.0,11.0,1.4,1.69239,2.52,-0.03,K0 III,K,Giant,3,1
38,AB Aur,162.127,9770.0,2.95887,2.4,1.77085,3.77411,,Unknown,Unknown,Subgiant,1,1
39,AB Pic,50.0475,5285.0,0.999394,0.9,-0.22631,4.53,0.04,K2 V,K,Main_Sequence_Cool,1,1
40,AF Lep,26.8564,6140.0,1.25,1.218,0.29,4.4,0.19,F8,F,Main_Sequence_Hot,1,1
41,AT2021ueyL,1040.0,3680.0,1.42487,0.49,0.31745,,,M V,M,Unknown,1,1
42,AU Mic,9.7221,3602.5,0.841,0.6174999999999999,-0.983785,4.3870000000000005,0.065,M1 V,M,Main_Sequence_Cool,1,4
43,BD+03 2562,1070.63,4095.0,32.35,1.14,2.7,1.89,-0.71,Unknown,Unknown,Supergiant,1,1
44,BD+05 4868 A,43.5687,4596.0,0.69,0.7,-0.7167,4.6,-0.05,K V,K,Main_Sequence_Cool,2,1
45,BD+14 4559,49.352,4864.0,0.86,0.49,-0.32,4.26,0.17,K2 V,K,Main_Sequence_Cool,1,1
46,BD+15 2375,768.045,4649.0,8.95,1.08,1.57,2.61,-0.22,G5,G,Giant,1,1
47,BD+15 2940,426.42,4796.0,14.7,1.1,2.01,2.8,0.28,K0,K,Giant,1,1
48,BD+20 2457,1539.71,4137.0,49.0,2.8,3.17,1.51,-1.0,K2 II,K,Supergiant,1,2
49,BD+20 274,1322.51,4296.0,17.3,0.8,1.96,1.99,-0.46,K5 III,K,Supergiant,1,1
50,BD+20 594,179.461,5766.0,1.08,1.67,-0.05552,4.5,-0.15,G,G,Main_Sequence_Cool,1,1
51,BD+37 3172,454.251,4500.0,50.24,3.75,2.84,1.5,-0.03,Unknown,Unknown,Supergiant,1,1
52,BD+42 2315,610.715,4500.0,17.85,1.38,1.99,2.0,-0.2,Unknown,Unknown,Supergiant,1,1
