pl_name,host_id,hostname,pl_orbper_d,pl_rad_rearth,pl_mass_mearth,pl_eqt_k,pl_size_class,hab_zone_flag,disc_year,disc_method
Kepler-1167 b,1764,Kepler-1167,1.003933739,1.71,3.57,1419.0,Super-Earth,0,2016,Transit
Kepler-1740 b,2392,Kepler-1740,8.172400475,3.32321414,11.0,858.0,Sub-Neptune,0,2021,Transit
Kepler-1581 b,2223,Kepler-1581,6.28385491,0.8,0.437,1108.0,Rocky,0,2016,Transit
Kepler-644 b,3147,Kepler-644,3.173917103,3.15,10.1,1655.0,Sub-Neptune,0,2016,Transit
Kepler-1752 b,2405,Kepler-1752,56.35850143,4.54060463,18.7,419.0,Neptune-like,0,2021,Transit
Kepler-280 c,2763,Kepler-280,4.807091,2.01,4.7,1088.0,Super-Earth,0,2014,Transit
Kepler-1208 b,1810,Kepler-1208,11.08507637,2.32,5.99,665.0,Super-Earth,0,2016,Transit
Kepler-263 c,2744,Kepler-263,47.332773,2.47,6.66,386.0,Super-Earth,0,2014,Transit
Kepler-1101 b,1692,Kepler-1101,81.3151059,2.47,6.66,393.0,Super-Earth,0,2016,Transit
HD 168746 b,594,HD 168746,6.404,11.1,85.8141,900.0,Giant,0,2002,Radial Velocity
Kepler-560 b,3056,Kepler-560,18.47764449,1.72,3.61,298.0,Super-Earth,1,2016,Transit
Kepler-150 d,2133,Kepler-150,12.56093,2.79,8.2,734.0,Sub-Neptune,0,2014,Transit
Kepler-498 b,2987,Kepler-498,9.61375356,3.03,9.43,931.0,Sub-Neptune,0,2016,Transit
Kepler-817 b,3332,Kepler-817,3.990106229,9.03,60.2,1124.0,Giant,0,2016,Transit
Kepler-937 b,3459,Kepler-937,67.668827,3.72,13.4,495.0,Sub-Neptune,0,2016,Transit
K2-10 b,1044,K2-10,19.30553,3.773,25.2,649.0,Sub-Neptune,0,2015,Transit
Kepler-571 b,3068,Kepler-571,4.798599388,2.64,7.46,978.0,Sub-Neptune,0,2016,Transit
Kepler-1458 b,2086,Kepler-1458,47.9872764,2.76,8.05,493.0,Sub-Neptune,0,2016,Transit
K2-335 b,1266,K2-335,12.283211,2.21,5.52,949.0,Super-Earth,0,2021,Transit
Kepler-1600 c,2245,Kepler-1600,7.298049927,1.94206512,4.43,786.0,Super-Earth,0,2021,Transit
Kepler-221 d,2698,Kepler-221,10.04156,2.73,3.61,712.0,Sub-Neptune,0,2014,Transit
Kepler-626 b,3129,Kepler-626,14.48585199,2.29,5.86,784.0,Super-Earth,0,2016,Transit
Kepler-1549 b,2187,Kepler-1549,214.886545,2.57,7.13,286.0,Sub-Neptune,1,2016,Transit
K2-62 c,1369,K2-62,16.19697,1.99,4.62,495.0,Super-Earth,0,2016,Transit
Kepler-1149 b,1744,Kepler-1149,3.73089898,1.44,2.67,1128.0,Rocky,0,2016,Transit
Kepler-1288 b,1898,Kepler-1288,2.76122421,1.12,1.46,2017.0,Rocky,0,2016,Transit
Kepler-128 b,1889,Kepler-128,15.0,1.421,3.79,968.0,Rocky,0,2013,Transit
Kepler-1245 b,1851,Kepler-1245,4.35409304,1.44,2.67,1043.0,Rocky,0,2016,Transit
Kepler-1068 b,1654,Kepler-1068,16.92344113,3.63,12.8,702.0,Sub-Neptune,0,2016,Transit
Kepler-311 c,2797,Kepler-311,19.738286,1.43,2.63,744.0,Rocky,0,2014,Transit
Kepler-150 e,2133,Kepler-150,30.826557,3.12,9.91,544.0,Sub-Neptune,0,2014,Transit
Kepler-272 c,2754,Kepler-272,6.057342,1.79,97.8,947.0,Super-Earth,0,2014,Transit
Kepler-152 c,2155,Kepler-152,88.255055,2.39,6.3,326.0,Super-Earth,0,2014,Transit
Kepler-1506 b,2140,Kepler-1506,14.0329154,1.32,2.3,783.0,Rocky,0,2016,Transit
CoRoT-3 b,97,CoRoT-3,4.2568,11.32,6883.91,1695.0,Giant,0,2008,Transit
HD 205739 b,672,HD 205739,279.8,13.6,435.41,,Giant,0,2008,Radial Velocity
NGTS-10 b,3591,NGTS-10,0.7668944,13.506845,687.14846,1332.0,Giant,0,2020,Transit
HD 224693 b,735,HD 224693,26.6904,14.0,222.481,,Giant,0,2006,Radial Velocity
HD 156279 b,563,HD 156279,133.40355,12.5,2997.75753482,,Giant,0,2011,Radial Velocity
HD 12661 b,483,HD 12661,262.70862,13.3,772.3269,,Giant,0,2000,Radial Velocity
HD 16417 b,580,HD 16417,17.24,5.0,22.1,,Neptune-like,0,2008,Radial Velocity
HD 19994 b,659,HD 19994,466.2,13.6,435.41,,Giant,0,2003,Radial Velocity
HD 156279 c,563,HD 156279,4818.25358,12.5,3098.82696825,,Giant,0,2018,Radial Velocity
GJ 179 b,167,GJ 179,2288.0,13.8,301.93698665,,Giant,0,2009,Radial Velocity
GJ 832 b,229,GJ 832,3853.0,13.8,314.65012293,,Giant,0,2008,Radial Velocity
HD 37605 b,806,HD 37605,55.01292,13.2,854.9627,,Giant,0,2004,Radial Velocity
HD 33283 b,796,HD 33283,18.1991,12.5,104.56607,,Giant,0,2006,Radial Velocity
HD 9446 b,946,HD 9446,30.052,14.0,222.472,,Giant,0,2009,Radial Velocity
HD 134987 c,500,HD 134987,5000.0,13.9,260.0,,Giant,0,2009,Radial Velocity
HD 110014 b,441,HD 110014,835.477,12.4,3524.59,,Giant,0,2009,Radial Velocity
HD 79498 b,906,HD 79498,1807.0,13.6,425.8922,,Giant,0,2011,Radial Velocity
HD 45652 b,832,HD 45652,44.073,14.3,137.62039,,Giant,0,2008,Radial Velocity
HIP 79431 b,1018,HIP 79431,111.7,13.4,667.415,,Giant,0,2009,Radial Velocity
HD 3167 b,789,HD 3167,0.959641,1.67,4.97,1774.0,Super-Earth,0,2016,Transit
GJ 876 b,232,GJ 876,61.1166,13.3,723.2235,,Giant,0,1998,Radial Velocity
HD 114783 c,459,HD 114783,4352.0,13.4,603.8739733,,Giant,0,2018,Radial Velocity
HD 47186 c,835,HD 47186,1353.6,13.0,111.42,,Giant,0,2008,Radial Velocity
HD 114783 b,459,HD 114783,493.7,13.7,349.6,,Giant,0,2001,Radial Velocity
HD 148156 b,539,HD 148156,1027.0,13.9,270.144,,Giant,0,2009,Radial Velocity
HD 12661 c,483,HD 12661,1708.0,13.2,899.45439181,,Giant,0,2002,Radial Velocity
HIP 14810 c,981,HIP 14810,147.747,13.6,416.3573,,Giant,0,2006,Radial Velocity
HIP 14810 b,981,HIP 14810,6.673892,13.0,1239.537,,Giant,0,2005,Radial Velocity
GJ 876 d,232,GJ 876,1.93778,2.51,6.83,,Sub-Neptune,0,2005,Radial Velocity
GJ 876 e,232,GJ 876,124.26,3.92,14.6,,Sub-Neptune,0,2010,Radial Velocity
gam1 Leo b,4539,gam1 Leo,428.5,12.5,2790.43,,Giant,0,2009,Radial Velocity
HD 156411 b,564,HD 156411,842.2,14.0,235.18,,Giant,0,2009,Radial Velocity
HD 8535 b,919,HD 8535,1313.0,14.0,216.1244,,Giant,0,2010,Radial Velocity
HD 37605 c,806,HD 37605,2720.0,13.1,1013.8777,,Giant,0,2012,Radial Velocity
HD 1605 c,573,HD 1605,2149.0,13.0,1150.5446,,Giant,0,2015,Radial Velocity
BD+20 2457 b,48,BD+20 2457,379.63,12.1,6807.63,,Giant,0,2009,Radial Velocity
HD 240210 b,750,HD 240210,501.75,12.8,1655.82,,Giant,0,2009,Radial Velocity
CoRoT-17 b,83,CoRoT-17,3.7681,11.43,772.29,1626.0,Giant,0,2011,Transit
HD 132563 b,495,HD 132563,1544.0,13.6,473.547,,Giant,0,2011,Radial Velocity
HD 55696 b,850,HD 55696,1827.0,12.9,1357.12729789,,Giant,0,2018,Radial Velocity
HD 148164 b,540,HD 148164,328.55,13.7,390.9309,,Giant,0,2018,Radial Velocity
24 Sex c,10,24 Sex,883.0,13.9,273.32,,Giant,0,2010,Radial Velocity
HD 22781 b,738,HD 22781,528.07,12.3,4338.2,,Giant,0,2011,Radial Velocity
HD 68988 b,878,HD 68988,6.27711,13.4,626.1251,,Giant,0,2001,Radial Velocity
HD 148164 c,540,HD 148164,5062.0,12.8,1640.0028,,Giant,0,2018,Radial Velocity
HD 29985 b,781,HD 29985,20608.14049,12.8,1739.47487151,,Giant,0,2022,Radial Velocity
HD 3167 c,789,HD 3167,29.8454,3.0,11.13,564.0,Sub-Neptune,0,2016,Transit
HD 90156 b,939,HD 90156,49.77,4.43,17.98,,Neptune-like,0,2009,Radial Velocity
HD 45350 b,830,HD 45350,963.6,13.5,568.89,,Giant,0,2004,Radial Velocity
MOA-2009-BLG-266L b,3556,MOA-2009-BLG-266L,2800.0,3.21,10.4,,Sub-Neptune,0,2011,Microlensing
Kepler-595 c,3094,Kepler-595,12.38602,1.009,3.3,679.0,Rocky,0,2020,Transit
Kepler-595 b,3094,Kepler-595,25.3029092,3.708,17.4,535.0,Sub-Neptune,0,2016,Transit
HD 177830 c,613,HD 177830,110.9,7.87,47.6725,,Giant,0,2010,Radial Velocity
OGLE-TR-111 b,3724,OGLE-TR-111,4.0144463,11.421971,174.799,1019.0,Giant,0,2004,Transit
PSR B1257+12 b,3736,PSR B1257+12,25.262,0.338,0.02,,Rocky,0,1994,Pulsar Timing
PSR B1257+12 d,3736,PSR B1257+12,98.2114,1.8,3.9,,Super-Earth,0,1992,Pulsar Timing
MOA-2007-BLG-192L b,3552,MOA-2007-BLG-192L,,1.63,3.3,,Super-Earth,0,2008,Microlensing
