host_id,hostname,st_teff_k,st_lum_log,st_mass_msun,st_rad_rsun,spectral_class,hr_region,n_planets,avg_pl_rad,has_hz_planet
3147,Kepler-644,6747.0,0.71041,1.49,1.81,Unknown,Main_Sequence_Hot,1,3.15,0
1692,Kepler-1101,5614.0,-0.35135,0.94,0.91,Unknown,Main_Sequence_Cool,1,2.47,0
2245,Kepler-1600,5166.5,-0.33945,0.839,0.827,Unknown,Main_Sequence_Cool,2,2.54,1
2754,Kepler-272,5297.0,0.06634,0.91,0.929,Unknown,Main_Sequence_Cool,3,1.82,0
97,CoRoT-3,6740.0,0.39086,1.37,1.56,F,Main_Sequence_Hot,1,11.32,0
906,HD 79498,5748.0,0.03,1.08,1.05,G,Main_Sequence_Cool,1,13.6,0
1018,HIP 79431,3191.0,-1.54921,0.49,0.478625,M,Main_Sequence_Cool,1,13.4,0
564,HD 156411,5900.0,0.731,1.25,2.16,F,Main_Sequence_Cool,1,14.0,0
3548,Lupus-TR-3,5000.0,-1.46393,0.87,0.82,Unknown,Main_Sequence_Cool,1,9.98,0
3723,OGLE-TR-10,5950.0,0.188,1.14,1.17,G,Main_Sequence_Cool,1,14.01,0
2894,Kepler-4,5857.0,0.354,1.223,1.487,Unknown,Main_Sequence_Cool,1,4.0,0
3077,Kepler-58,5971.0,-0.00422,0.9834999999999999,1.0565,Unknown,Main_Sequence_Cool,4,2.55,0
3197,Kepler-69,5638.0,-0.097,0.81,0.93,G,Main_Sequence_Cool,2,1.98,1
2861,Kepler-37,5357.0,-0.32187,0.79,0.789,Unknown,Main_Sequence_Cool,4,0.87,0
4510,WTS-2,5000.0,-0.28812,0.82,0.752,K,Main_Sequence_Cool,1,15.28,0
2925,Kepler-428,5150.0,-0.39,0.87,0.8,K,Main_Sequence_Cool,1,12.11,0
717,HD 219415,4820.0,0.62,1.0,2.9,K,Subgiant,1,13.8,0
546,HD 150706,5961.0,0.03175,1.17,0.96,G,Main_Sequence_Cool,1,13.3,0
2121,Kepler-149,5381.0,-0.11929,1.013,0.953,Unknown,Main_Sequence_Cool,3,3.26,1
2767,Kepler-284,5615.0,-0.34097,0.766,0.814,Unknown,Main_Sequence_Cool,2,2.42,0
3387,Kepler-87,5600.0,0.32604,1.1,1.82,Unknown,Subgiant,2,9.82,0
4436,WASP-33,7430.0,0.81944,1.495,1.444,A,Main_Sequence_Hot,1,17.86,0
1856,Kepler-125,3810.0,-1.3279,0.542101,0.512,M,Main_Sequence_Cool,2,1.56,0
2794,Kepler-309,4713.0,-0.574,0.816,0.721,M,Main_Sequence_Cool,2,2.04,1
2776,Kepler-292,5299.0,-0.33691,0.865,0.826,Unknown,Main_Sequence_Cool,5,2.01,0
2221,Kepler-158,4623.0,-0.75667,0.655,0.624,K,Main_Sequence_Cool,3,1.48,0
2874,Kepler-381,6152.0,0.5139,1.144,1.568,Unknown,Main_Sequence_Hot,3,1.06,0
2728,Kepler-249,3568.0,-1.49485,0.510238,0.482,M,Main_Sequence_Cool,3,1.39,0
2033,Kepler-141,4910.0,-0.44625,0.878,0.787,Unknown,Main_Sequence_Cool,2,1.05,0
189,GJ 3470,3600.0,-1.5376,0.539,0.547,M,Main_Sequence_Cool,1,4.57,0
1988,Kepler-137,5187.0,-0.29234,0.85,0.802,Unknown,Main_Sequence_Cool,2,1.67,0
